date,code,name,store_name,value
2023-01-01,1,菓　子,inada,"162,698"
2023-01-01,1,菓　子,otofuke,"372,230"
2023-01-01,1,菓　子,ekimae,"556,517"
2023-01-01,2,嗜好品,inada,"24,517"
2023-01-01,2,嗜好品,otofuke,"63,106"
2023-01-01,2,嗜好品,ekimae,"97,064"
2023-01-01,3,調味料,inada,"68,209"
2023-01-01,3,調味料,otofuke,"179,479"
2023-01-01,3,調味料,ekimae,"179,935"
2023-01-01,4,調理素材,inada,"15,357"
2023-01-01,4,調理素材,otofuke,"30,717"
2023-01-01,4,調理素材,ekimae,"25,870"
2023-01-01,5,クイックフーズ,inada,"76,947"
2023-01-01,5,クイックフーズ,otofuke,"306,097"
2023-01-01,5,クイックフーズ,ekimae,"363,244"
2023-01-01,6,グロサリーギフト,inada,"13,305"
2023-01-01,6,グロサリーギフト,otofuke,"7,200"
2023-01-01,6,グロサリーギフト,ekimae,"26,845"
2023-01-01,7,銘店,inada,"27,880"
2023-01-01,7,銘店,otofuke,"49,860"
2023-01-01,7,銘店,ekimae,"164,413"
2023-01-01,8,米,inada,"14,855"
2023-01-01,8,米,otofuke,"34,866"
2023-01-01,8,米,ekimae,"171,253"
2023-01-01,55,タバコ,inada,"17,406"
2023-01-01,55,タバコ,otofuke,"32,424"
2023-01-01,55,タバコ,ekimae,"47,919"
2023-01-01,61,スイーツ,otofuke,"2,000"
2023-01-01,61,スイーツ,ekimae,"8,000"
2023-01-01,74,飲料,inada,"135,827"
2023-01-01,74,飲料,otofuke,"284,086"
2023-01-01,74,飲料,ekimae,"328,667"
2023-01-01,9,酒類,inada,"147,588"
2023-01-01,9,酒類,otofuke,"351,177"
2023-01-01,9,酒類,ekimae,"1,116,635"
2023-01-01,273,ワイン,inada,"22,422"
2023-01-01,273,ワイン,otofuke,"53,932"
2023-01-01,273,ワイン,ekimae,"216,597"
2023-01-01,274,ビール類,inada,"146,565"
2023-01-01,274,ビール類,otofuke,"311,954"
2023-01-01,274,ビール類,ekimae,"316,106"
2023-01-02,1,菓　子,inada,"248,650"
2023-01-02,1,菓　子,otofuke,"280,777"
2023-01-02,1,菓　子,ekimae,"496,341"
2023-01-02,2,嗜好品,inada,"69,909"
2023-01-02,2,嗜好品,otofuke,"83,604"
2023-01-02,2,嗜好品,ekimae,"124,902"
2023-01-02,3,調味料,inada,"129,967"
2023-01-02,3,調味料,otofuke,"184,991"
2023-01-02,3,調味料,ekimae,"171,699"
2023-01-02,4,調理素材,inada,"28,986"
2023-01-02,4,調理素材,otofuke,"31,648"
2023-01-02,4,調理素材,ekimae,"30,401"
2023-01-02,5,クイックフーズ,inada,"157,536"
2023-01-02,5,クイックフーズ,otofuke,"235,786"
2023-01-02,5,クイックフーズ,ekimae,"242,712"
2023-01-02,6,グロサリーギフト,inada,"25,880"
2023-01-02,6,グロサリーギフト,otofuke,"8,600"
2023-01-02,6,グロサリーギフト,ekimae,"6,596"
2023-01-02,7,銘店,inada,"3,130"
2023-01-02,7,銘店,otofuke,"23,796"
2023-01-02,7,銘店,ekimae,"29,506"
2023-01-02,8,米,inada,"50,365"
2023-01-02,8,米,otofuke,"76,326"
2023-01-02,8,米,ekimae,"42,354"
2023-01-02,55,タバコ,inada,"63,787"
2023-01-02,55,タバコ,otofuke,"57,919"
2023-01-02,55,タバコ,ekimae,"78,548"
2023-01-02,61,スイーツ,inada,"3,000"
2023-01-02,74,飲料,inada,"184,549"
2023-01-02,74,飲料,otofuke,"214,007"
2023-01-02,74,飲料,ekimae,"295,979"
2023-01-02,9,酒類,inada,"167,199"
2023-01-02,9,酒類,otofuke,"259,334"
